Отметка времени,Возраст,Пол,Образование,Балл,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,А такой?,Как бы ты назвал этот цвет?,А такой?,А такой?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,Что это за цвет?,А вот такой?,А вот такой?,Хорошо идёшь! А это какой цвет?,Здесь тоже есть цвет! Какой?,А это какой цвет?,А это какой цвет?,А это какой цвет?,Ещё чуть-чуть!,Последние три!,Ты молодец!,"Последний, честно!",Можешь вспомнить название?,"Есть ли у тебя особенности зрения, связанные с восприятием цветов (дальтонизм, цветовая агнозия, монохромазия и т.д.)?",Сумма
15.06.2019 12:26:37,18,женский,IT,16,Ультрамарин,Оранжевый ,Коричневый,Зелёный,Пепельный розовый,Сиена жженая,Тёмный ультрамарин ,Бордовый ,Фиолетовый,Ярко-бирюзовый,Персиковый,Цвет слоновой кости,Чёрный,Пурпурный,Фуксия ,Чёрный ,Кобальт,Алый ,Серо-зелёный,Молочный,Красный,Темно-зелёный,Белый ,Светло-изумрудный,Светло-розовый,Темно-коричневый,Серый,Жёлтый,Аквамарин,Светло-персиковый,Цвета,Нет,0
,,,,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.5,1,0,0.5,0,1,0.5,0.5,0,0,1,1,,,16
15.06.2019 12:27:20,23,женский,Юриспруденция,16,455й синий,Охристый,Коричневый,Зеленый-травяной,"Цвет моей юбки (ладно, лиловый)",Пыльный коричневый,Темно-синий,Бордовый,Фиолетовый,Тиффаневский ,Персиковый,Пудровый,Черный,Фуксия,...фуксия???,...черный....,Серо-синий,Красный,Грязно-серый,Молочный,Коралловый ,Изумрудный,Белый,Ярко-зелёный ,Нежно-розовый,Коричневый ,Серый,Желтый,Голубой,Бежевый,"Названия не было вроде особого, мячики кидали ",Нет,0
,,,,0,1,1,0,1,1,1,0.5,1,0,1,1,1,0,1,1,0,0.5,0,0.5,1,1,1,0,0.5,1,0,0,0,0,1,,,16
15.06.2019 12:29:17,25,женский,"Филология, лингвистика, иностранные языки",7,синий,оранжевый,коричневый,зеленый,лиловый,грязно-кирпичный,темно-синий,алый,ярко-фиолетовый,бирюзовый,персиковый,бледно-желтый,черный,фиолетовый,фуксия,черный,сине-голубой,красный,серо-зеленый,бледно-бледно-желтый,красный,темно-зеленый,белый,ярко-зеленый,розовый,темно-коричневый,серый,ярко-желтый,голубой,светло-персиковый,Светофор,Нет,0
,,,,0,0,0,0,0,1,1,0.5,1,0.5,1,1,0.5,0,0,1,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,1,,,7
15.06.2019 12:30:19,21,женский,"Филология, лингвистика, иностранные языки",3,Синий,Оранжевый,Коричневый,Зелёный,Сиреневый,Светло-коричневый,Тёмно-синий,Бордовый,Фиолетовый,Ярко-голубой,Светло-оранжнвый,Светло-желтый,Черный,Фиолетовый,Ярко-розовый,Черный,Синий,Красный,Серый,Слоновой кости,Светло-красный,Темно-зеленый,Белый,Светло-зеленый,Розовый,Тёмно-коричневый,Серый,Жёлтый,Голубой,Цвета кожи,Светофор,Нет,0
,,,,0,0,0,0,0,1,0.5,0.5,1,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,1,0.5,0.5,0,0.5,0,0.5,0,0,0,,,,3
15.06.2019 12:31:02,23,женский,IT,4,синий,темно-желтый,коричневый,зеленый,розово-сиреневый,кофейный,синий,красный,фиолетовый,голубой,кирпичный,бледно-желтый,черный,фиолетовый,розовый,черный,синий,красный,серый,бледно-бежевый,красный,зеленый,белый,зеленый,розовый,коричневый,серый,желтый,голубой,бежевый,Не играл,Нет,0
,,,,0,0,0.5,0,0,1,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,,,4
15.06.2019 12:31:48,21,мужской,"Филология, лингвистика, иностранные языки",13,Синий,Горчичный,Коричневый,Темновато-зелёный,Тускло-лиловый,Тускло-коричневый,Королевский тёмно-синий,Алый,Пурпурный,Лазурный,Светло-кирпичный,Пастально-жёлтый,Тёмно-коричневый,Насыщенно-пурпурный,Ярко-пурпурный,Тёмно-тёмно-коричневый,Тускло-синий,Ярко-красный,Болотный серо-коричневый,Цвет слоновой кости,Тускловато-красный,Тёмно-зелёный,Белый,Тускло-зелёный,Тускловато-розовый,Коричневый,Серый,Ярко-жёлтый,Небесно-голубой,Тусклый розовато-оранжевый,Не играл,Нет,0
,,,,0,0,1,0,0.5,1,0.5,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0,1,0.5,0.5,0,0.5,0.5,0,0,0.5,1,1,,,13
15.06.2019 12:32:01,22,мужской,IT,5,Синий,Оранжевый,Красный,Зелёный,Розовый,Тёмно-розовый,Фиолетовый,Тёмно-красный,Сиреневый,Нежно-голубой,Телесный,Бежевый,Чёрный,Фиолетовый,Сиреневый,Чёрный,Цвет морской волны,Красный,Серый,Белый,Бледно-красный,Тёмно-зелёный,Белый,Светло-зелёный,Розовый,Коричневый,Серый,Жёлтый,Голубой,Розовый,Не играл,Нет,0
,,,,0,0,0,0,0,0,0.5,0,0.5,1,0.5,1,1,0,0,1,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,,,5
15.06.2019 12:32:24,21,женский,"Филология, лингвистика, иностранные языки",13,индиго,апельсиновый,молочный шоколад,зеленый,светло-фиолетовый,светло-коричневый,темно-синий,бардово-красный,ярко-фиолетовый,бирюзовый,пастельно-оранжевый,пастельно-телесный,черный,ярко-фиолетовый,фукси,черный,пастельно-синий,ярко-красный,темный бетон,светло-пастельный,пастельно-красный,темный изумруд,белый,светло-изумрудный,нежно розовый,темно-коричневый,серый,ярко-желтый,небесно-голубой,нежно персиковый,Не играл,Нет,0
,,,,0,1,1,1,0,0.5,0.5,0.5,1,0.5,1,0.5,1,0,0.5,0,0,0.5,0.5,1,1,1,1,0,1,0.5,0.5,0,0.5,1,1,,,13
15.06.2019 12:33:42,18,женский,Международные отношения ,14,Синий,Желтый,Коричневый,Зеленый,Лиловый,Капучино ,Темно-синий ,Бордовый,Фиолетовый,Бирюзовый,Темный персиковый,Светлый бежевый,Черный,Фуксия ,Кислотный розовый,Черный,Деним ,Красный,Темно серый,Слоновая кость ,Коралловый ,Зелёный ,Белый ,Светло-зеленый ,Пастельный розовый ,Эспрессо ,Серый,Желтый ,Небесно голубой ,Пудровый ,Светофор,Нет,0
,,,,0,0,0,0,0,1,1,0.5,1,0,1,1,1,0,1,1,0,1,0,0.5,1,1,0,0,0.5,0.5,1,0,0,1,1,,,14
15.06.2019 12:35:18,22,женский,"Филология, лингвистика, иностранные языки",6,Синий,Оранжевый,Терракотовый,Зелёный,Лиловый,Коричнево-розовый,Темно синий ,Темно красный ,Фиолетовый,Ярко голубой ,Персиковый,Песочный ,Черный ,Темно розовый,Ярко розовый,Черный ,Грязно голубой ,Красный ,Серо-зеленый,Белый песок ,Красный приглушённый ,Темно зелёный,Белый,Светло зеленый,Пастельно розовый,Коричневый ,Серый ,Жёлтый ,Голубой ,Персиковый,Не играл,Нет,0
,,,,0,0,0,1,0,1,0.5,0.5,0.5,0,0.5,1,1,0,0.5,0.5,0,0,0,0.5,1,0.5,0.5,0,0.5,0.5,0,0,0,0,1,,,6
15.06.2019 12:35:21,29,мужской,IT,8,синий,оранжевый,охристый,зелёный,тёмно-розовый,тёмно-бежевый,тёмно-синий,бордовый,фиолетовый,голубой,"оранжевый, хотя и другой :) ",бежевый. или крем-брюле,почти чёрный,сиреневый,розово-фиолетовый,чёрный или почти-почти чёрный,синий похожий на ВК :) ,ярко-алый,"мокрый асфальт, наверное","бледно-жёлтый, бледно-лимонный",алый,тёмно-зелёный,"белый, это ты?... ",светло-зелёный,розовый,коричневый,серый,лимонный ,сине-голубой,бежевый ,Красочки в коробочку,Нет,0
,,,,0,0,0,1,0,0.5,0.5,0.5,1,0,0,0,1,0.5,1,0.5,0.5,0,0.5,1,0.5,1,0.5,0,0.5,0,0,0,1,0.5,1,,,8
15.06.2019 12:38:32,21,женский,Естественные науки,24,Синий ,Внебрачный сын апельсина и абрикоса,Ночь перед защитой,Черепашка ниндзя в минималистичном стиле ,Ну здесь всё просто – сиреневый ,"Смесь коричневого, песочного и бледно-розового ",Индиго ,Винный,Неоновый фиолетовый ,Неоновый голубой ,Оранжевый+белый ,Соломенный ,Иссиня чёрный ,Донателло из Черепашек ниндзя ,Неоновый розовый ,Чёрный ,Морская волна ,Алый ,Грязно-зелёный ,Шампань ,Коралловый ,"Я уже устала, но пусть будет тёмно-зелёный ",Белый ,Разбеленный зелёный ,Розовый зефир ,Сливовый,Серый,Неоновый жёлтый ,Небесный голубой ,Персиковый ,Не играл,Нет,0
,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.5,1,1,0.5,0,1,1,1,0,1,1,1,,,24
15.06.2019 12:39:32,22,мужской,IT,10,Синий,Песочный,Светло-коричневый,Зелёный,Сиреневый,Малиново-коричневый,Тёмно-синий,Бордовый,Пурпурный,Голубой,Персиковый,Бежевый,Чёрный,Фиолетовый,Ярко-розовый,Чёрный ,Бирюзовый,Красный,Серый ,Кремовый,Красный,Тёмно-зелёны1,Белый,Светло-зелёный,Нежно-розовый,Тёмно-коричневый,Серый,Жёлтый,Голубой,Кремовый,Не играл,Нет,0
,,,,0,0,1,0.5,0,1,1,0.5,1,1,0,1,1,0,0,0.5,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,0,0,0,1,,,10
15.06.2019 12:40:11,20,женский,"Филология, лингвистика, иностранные языки",10,Синий,Фанта,Коричневый (цветная бумага ещё такая обычно),Зелёный ,Лавандовый,Какой-то светло-коричневый ,Темно-синий ,Красный бархат,Светло-фиолетовый,Ядовито голубой ,Что-то Типа персикового,"Слоновая кость, как тональник ",Чёрный!,Фуксия вроде,Ядовито розовый,Опять чёрный же,Грязно-синий,Красный,Темно-серый,Желтоватенький,Коралловый,Зелёный ,Белый,"Зелёный, будто смешанный с белым, как в красках",Нежно-розовый,Шоколадный,Серый ,Желтый,Небесно-голубой ,Что-то Типа телесного,Светофор,Нет,0
,,,,0,0,1,0,0,1,0.5,0.5,1,0.5,0.5,1,0,0,1,0.5,0,0.5,0,0.5,0.5,1,0,0,1,0.5,1,0,0,1,1,,,10
15.06.2019 12:43:29,24,женский,"Социология, экономика, общественные науки",6,Ярко-синий,Оранжевый,Коричневый,Зеленый,Нежно-лиловый,Сиренево-коричневый,Насыщенный синий,Бардово-красный,Ярко-лиловый,Небесный синий ,Приглушённый оранжевый,Бледно-желтый,Чёрный ,Фиолетовый,Фуксия ,Чёрный ,Приглушённый синий,Ярко-красный,Серо-зеленый,Светло-желтый,Красно-оранжевый,Темно-зеленый,Белый,Желто-зелёный ,Нежно-розовый,Бардовый,Серый,Ярко-желтый,Яркий светло-синий,Персиковый,Светофор,Нет,0
,,,,0,0.5,0,0,0,0.5,1,0.5,1,1,0.5,0.5,0.5,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,0.5,1,,,6
15.06.2019 12:43:51,23,женский,"Социология, экономика, общественные науки",13,Электрик,Горчичный,Коричневый ,Насыщенный зеленый,Холодная лаванда,Мокко,Темно синий,Алый,Фуксия,Голубой Неон,Персиковый,Молочный,Черный,Пурпурный,Ядовито розовый,Угольно черный,Темно голубой,Красный,Болотный,Слоновая кость ,Красно-розовый,Зеленый,Белый)),Салатовый,Пепельно розовый,Темно коричневый,Темно серый,Желтый,Небесный,Нежный персик,Светофор,Нет,0
,,,,0,0.5,1,0,0.5,1,1,0.5,1,1,0.5,1,1,,1,0.5,0.5,0.5,,1,1,0.5,1,0,0.5,0.5,0.5,0.5,,1,1,,,13
15.06.2019 12:44:01,22,мужской,"Социология, экономика, общественные науки",3,Синий,Оранжевый,цвет говна,зеленый,розово фиолетовый,не знаю,темно синий,темно красный,сине розовый,ярко синий,кровь с говном,желто белыый,черный,темно фиолетовый,ярко виолетовый,черный,синий,красный,ярко черный,мояа с низким содержанием урохрома,красно белый,темно зеленый,белый,ярко зеленый,ярко розовый,темно коричневый,серый,ярко желтый,голубой,бежевый,Не играл,Нет,0
,,,,0,,,1,,0.5,-1,0.5,0.5,0.5,0.5,1,0.5,,0.5,0.5,,,,0.5,1,0.5,0.5,,0.5,0.5,0.5,,0.5,,1,,,3
15.06.2019 12:44:17,25,мужской,IT,30,Синий экран смерти,Яндекс,Какуля,Трава,Свинка,Пудра,Ночь,Открытая рана,Киберпанк,Небо в паинте,Стены новостроек,Стены в поликлинике,Черная дыра,Бабушкина помада,Похоть,Села батарейка,Озеро,Внимание,Мокрый асфальт,Плитка,KFC,Болото,Мел,Лягушка,Жевачка,Дерево,Бетон,Дождевик,Питерский экономический форум,Обнаженное тело,Не играл,Нет,0
,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,30
15.06.2019 12:47:05,23,женский,Журналистика,17,синий,горчичный,коричневый,тёмно-зеленый,пыльная роза,молочный шоколад,тёмно-синий,винный,фиолетовый,тиффани :),персиковый,песочный,черный,тёмно-сиреневый,противно-гламурный розовый,чёрный,морской,алый,серый,молочный,коралловый,еловый,белый,молодые листья,розовый,коричневый,серый,жёлтый,лазурный,персиковый,Не играл,Нет,0
,,,,0,,1,,0.5,1,1,0.5,1,0,1,1,1,,1,1,,1,1,,1,1,1,,1,,,,,1,1,,,17
15.06.2019 12:47:49,23,женский,"Филология, лингвистика, иностранные языки",15,Ярко-синий,Светло-оранжевый ,Светло-коричневый,Зелёный травяной,Сиреневый мутный,Коричнево-сиреневый,Темно-синий ,Багровый,Фиолетовый кислотный,Цвет морской волны ,Персиковый,Кремовый,Черный,Пурпурный,Лиловый кислотный,Черный,Синий пасмурный,Алый,Серо-коричнево-зеленый,Светло-кремовый,Коралловый,Темно-зелёный лесной,Белый ,Салатовый,Розовый пастельный ,Коричневый,Серый ,Жёлтый ,Голубой ,Бежево-розовый пастельный ,Светофор,Нет,0
,,,,0,0.5,0.5,0.5,0.5,1,1,0.5,1,0,1,1,1,,1,1,,1,1,0.5,1,1,1,,1,,,,,,1,,,15
15.06.2019 12:49:06,22,женский,Медицина,11,синий,оранжевый,коричневый,зеленый,сиреневый,серо-буро-малиновый,синий,малиновый,фиолетовый,голубой,персиковый,бежевый,серый,фиолетовый,фуксия,черный,светло-синий,алый,серый,белый,лососёвый,зеленый,белый,мятный,сиреневый,коричневый,серо-голубой,желтый,голубой,бежево-розовый,Не играл,Нет,0
,,,,0,,,,,1,1,,1,,,1,1,,,1,,0.5,1,,,1,,,1,1,,0.5,,,1,,,11
15.06.2019 12:51:17,23,женский,"Филология, лингвистика, иностранные языки",6,синий,оранжевый,коричневый,болотный,сиреневый,коричневый,фиолетовый,бордовый,фиолетовый,голубой,оранжевый,песочный,черный,сиреневый,розовый,черный,синий,красный,черный,белый,красный,черный,белый,зелёный,розовый,черный,серый,жёлтый,голубой,бежевый,Светофор,Нет,0
,,,,0,,,,1,1,,,1,,,,1,,1,,,,,,,,,,,,,,,,1,,,6
