Отметка времени,Возраст,Пол,Образование,Балл,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,А такой?,Как бы ты назвал этот цвет?,А такой?,А такой?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А такой?,Как бы ты назвал этот цвет?,Как бы ты назвал этот цвет?,А этот?,Что это за цвет?,А вот такой?,А вот такой?,Хорошо идёшь! А это какой цвет?,Здесь тоже есть цвет! Какой?,А это какой цвет?,А это какой цвет?,А это какой цвет?,Ещё чуть-чуть!,Последние три!,Ты молодец!,"Последний, честно!",Можешь вспомнить название?,"Есть ли у тебя особенности зрения, связанные с восприятием цветов (дальтонизм, цветовая агнозия, монохромазия и т.д.)?",Сумма
,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,30
15.06.2019 15:32:52,30,женский,IT,13,Чистый синий,Средне-светлая охра,Чистый коричневый,Травяной зелёный,Сиреневый,Холодный коричневый,Темно-синий,Бордовый,Кисло-фиолетовый,Ярко-голубой,Персиковый,Бежевый,Черный,Фиалковый,Неоновый сиренево-розовый,Черный,Глубокий синий,Чистый красный,Графитовый,Молочный,Алый,Глубокий темно-зеленый,Белый,Больничный зелёный ,Нежно-розовый,Темно-коричневый,Мокрый асфальт,Яркий желтый,Небесно-голубой,Телесный,Светофор,Нет,0
,,,,0,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,1,,1,1,,0.5,0.5,1,1,1,0.5,,0.5,0.5,0.5,1,0.5,1,1,,,13
15.06.2019 15:36:25,21,женский,Естественные науки,10,Синий,Оранжевый,Коричневый,Темно-зеленый,Сиреневый,Бледно-коричневый,Ультрамарин,Бордовый,Фиолетовый,Бирюзовый ,Персиковый,Песочный,Чёрный ,Сливовый,Малиновый,Чёрный ,Бледно-синий,Красный,Серый,Слоновая кость ,Красный,Темно-зелёный ,Белый,Зелёный ,Бледно-розовый,Темно-коричневый,Серый ,Желтый,Голубой,Телесный,Цветной король,Нет,0
,,,,0,,,,0.5,1,0.5,1,1,,1,1,1,,1,1,,0.5,,,1,,0.5,,,0.5,0.5,,,,1,,,10
15.06.2019 15:38:48,53,женский,Автоматизация тех процессов,17,Электрик синий ,Оранжевый ,Кирпичный ,Зелёный ,Сиренево-розовый ,Молочный шоколад ,Синий ,Рубин ,Фиолетовый ,Мятный,Морковный ,Бежевый ,Чёрный ,Фуксия ,Ярко розовый ,Чёрный ,Синий ,Красный,Табак,Молочный ,Алый ,Темно зелёный ,Белый ,Травяной зелёный ,Бледно розовый ,Кофейный ,Серый ,Лимонный ,Небесноголубой,Абрикосовый ,Не играл(а),Нет,0
,,,,0,1,,1,,1,1,,1,,1,1,1,,1,0.5,,,,1,1,1,0.5,,1,0.5,1,,1,1,1,,,17
15.06.2019 15:39:32,22,женский,Юриспруденция,24,Синий строительный вагончик,Супермодные горчичные штаны ,Карамелька,Мультяшный травяной,Лилак,Сиренево-коричневый,Королевский синий ,Роза,Самые яркие волосы на районе,Windows 98,Персиковый,Цвет лица Раскольникова,Черный,Фиалка,Маркер-выделитель,Черный,Бархатный голубой,Краб Себастьян/Пионерский галстук ,Болото,Что-то там испуганной нимфы,Коралловый ,Футбольный газон ,Белый,Жвачкя ядерная мята,Ветчина ,Не мерзкий коричневый ,Октябрьский понедельник ,Цыпленок,Тряпочка для пыли ,Нетолерантный беж,"Красочки в коробочку, Светофор",Нет,0
,,,,0,1,1,1,1,1,1,0.5,1,1,1,1,1,,1,1,,0.5,1,1,1,1,1,,1,1,0.5,1,1,1,1,,,24
15.06.2019 15:46:00,28,мужской,Образование,6,Синий,Светло-горчичный,Коричневый,Густой зелёный,Мутно-розовый,Светло-коричневый с розовым оттенком,Густой синий,Тёмно-красный,Светло-фиолетовый,Циан,Персиковый,Песочный,Чёрный,Густо-фиолетовый,Яркий розовый,Чёрный,Спокойный синий,Алый,Серый с зелёным оттенком,Бледно-песочный,Красный,Тёмно-зелёный,Белый,Бледновато-зелёный,Мягкий розовый,Тёмно-коричневый,Серый,Ярко-жёлтый,Голубой,Персиковый,Светофор,Нет,0
,,,,0,,1,,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,,0.5,0.5,,0.5,1,0.5,0.5,,0.5,,0.5,0.5,0.5,,0.5,,1,,,6
15.06.2019 15:55:54,21,женский,"Социология, экономика, общественные науки",15,Электрик,Оранжевый ,Каштановый,Зелёный ,"Лиловый, сиреневый ",Земляной ,Темно-синий ,Бордовый ,Сине-фиолетовый ,Лазурный ,Грязный светло-оранжевый ,Темно-бежевый ,Чёрный ,Фиолетовый ,Сиреневый неон,Насыщенный чёрный ,Грязно-синий ,Красный ,Тёмный серо-зеленый,Молочный ,Красный ,Темно-зелёный ,Белый ,Темно-салатовый ,Пепельная роза ,Чёрный ,Металлик светлый ,Жёлтый ,Голубой ,Бежевый ,"Цветной король, Красочки в коробочку",Нет,0
,,,,0,1,,1,,1,1,0.5,1,0.5,1,0.5,1,,1,1,0.5,0.5,1,0.5,1,,0.5,,1,1,,1,,,1,,,15
15.06.2019 15:58:25,23,женский,Beauty индустрия ,9,Синий,Оранжевый ,Коричневый,Зелёный ,Сиреневый ,Коричневый,Темно-синий,Бордовый,Сине-фиолетовый ,Бирюзовый ,Персиковый ,Бежевый ,Чёрный ,Сиреневый ,Розовый ,Чёрный ,Темно-голубой ,Красный,Темно-серый ,Светло-бежевый,Красный,Болотный ,Белый,Зелёный ,Розовый,Коричневый ,Серый,Желтый ,Голубой,Телесный ,Красочки в коробочку,Нет,0
,,,,0,,,,,1,,0.5,1,0.5,1,1,1,,1,,,0.5,,0.5,1,,1,,,,,,,,1,,,9
15.06.2019 15:59:21,21,мужской,Электрогазосварщик,5,Синий,Оранжевый ,Коричневый ,Зелёный ,Пурпурный ,Коричнево-пурпурный ,Темно-синий ,Бордовый ,Фиолетовый ,Яркоголубой ,Мягкоораньжевый ,Бежевый ,Чёрный ,Фиолетовый ,Розовый ,Чёрный ,Светлосиний ,Красный ,Серый ,Белый ,Тепло розовый ,Темно зелёный ,Белый ,Светло-зеленый ,Светла розовый,Коричневый,Светла серый,Жёлтый,Голубой,Бежевый,Светофор,Нет,0
,,,,0,,,,,1,1,0.5,1,,0.5,0.5,1,,,,,0.5,,,,0.5,0.5,,0.5,0.5,,0.5,,,1,,,5
15.06.2019 16:06:59,29,женский,IT,9,Синий,Оранжевый,Коричневый,Зелёный,Сереневый,Коричневый,Фиолетовый,Бордовый,Сереневый / лавандовый,Голубой неон,Оранжевый пастель,Без пастель,Черный,Малиновый,Розовый неон,Черный,Синий,Красный / алый,Серый / графитовый,Молочный пастель,Красный,Темнозеленый,Белый,Темно салатовый,Розовый,Черный,Серый,Жёлтый неон,Голубой неон,Пудровый / Телесный / Беж пастель,Цвета,Нет,0
,,,,0,,,,,1,,,1,1,0.5,0.5,1,,1,0.5,,,1,1,1,,0.5,,0.5,,,,0.5,0.5,1,,,9
15.06.2019 16:08:47,23,женский,"Социология, экономика, общественные науки",10,Синий,Апельсиновый,Коричневый,Зеленый,Сиреневый,Грязно-розовый,Темно-синий,Винный,Фиолетовый,Бирюзовый,Нежно-оранжевый,Песочный,Темно-серый,Лиловый,Фуксия,Чёрный,Темно-голубой,Красный,Грязно-зелёный,Светло-лимонный,Коралловый,Темно-зеленый,Белый,Зелёный,Розовый,Темно-Коричневый,Серый,Ярко-желтый,Небесно-голубой,Персиковый,Светофор,Нет,0
,,,,0,,1,,,1,0.5,0.5,1,,1,0.5,1,0.5,1,1,,0.5,,0.5,0.5,1,0.5,,,,0.5,,0.5,1,1,,,10
15.06.2019 16:14:08,22,женский,Строительство ,8,Синий ,Охра ,Коричневый ,Зелёный ,Светло сиреневый ,Коричневый ,Синий,Алый ,Синий ,Бирюзовый ,Персиковый ,Светло желтый ,Черный ,Фиолетовый ,Фуксия ,Черный ,Синий ,Красный ,Серый ,Светло жёлтый ,Коралловый ,Зелёный ,Белый ,Зелёный ,Розовый ,Темно коричневый ,Серый ,Жёлтый ,Голубой ,Персиковый ,"Красочки в коробочку, Светофор",Нет,0
,,,,0,,1,,,1,,,1,,1,1,0.5,,,1,,,,,0.5,1,,,,,0.5,,,,1,,,8
15.06.2019 16:14:14,23,женский,Естественные науки,18,Ярко-синий,Апельсиновый,Светло-коричневый,Травяной,Лавандовый ,Серо-буро-малиновый,Кобальтовый,Винный,Лиловый,Циан,"Светло-оранжевый, как молочный морковный смузи",Кремовый,Черный,Пурпурно-лиловый,Маждента,Черный,Серо-голубой,Алый,Мокрый асфальт,Слоновая кость,Оранжево-алый,Темно-зеленый,Белый,Светло-зеленый ,Нежно-розовый,Темный шоколад,Серый,Лимонный,Ярко-голубой,Телесный,Светофор,Нет,0
,,,,0,0.5,1,0.5,1,1,1,1,1,1,1,0.5,1,,1,1,,0.5,1,1,1,1,0.5,,0.5,0.5,1,,1,0.5,1,,,18
15.06.2019 16:28:54,24,женский,Медиа,15,Синий,Желтый,Коричневый,Зеленый,Розово-лиловый,Серо-коричневый,Глубокий синий,Бурый,Фиолетовый,Светло-Бирюзовый,Персиковый,Пастельно-желтый,Черный,Маджента,Ультра розово-сиреневый,Черный,Сине-бирюзовый,Красно-оранжевый,Серо-болотный,Молочный,Коралловый,Темно-зеленый ,Белый,Лаймово-зеленый,Baby pink (светло-розовый),Темно-коричневый,Серый,Лимонный,Голубой,Светло-персиковый,Цветомузыка,Нет,0
,,,,0,,,,,1,0.5,0.5,1,,1,1,1,,1,1,,1,0.5,1,1,1,0.5,,1,1,0.5,,1,,1,,,15
15.06.2019 16:30:45,18,женский,Естественные науки,14,Ультрамариновый,Апельсиновый,Коричневый,Изумрудный,Пыльный розовый,Кофе с молоком ,Темно-ультрамариновый,Темно-красный,Фиалковый,Ярко-голубой,Персиковый,Светло-бежевый,Черный,Фиолетовый для пати ,Ярко-розовый,Черный,Темно-голубой,Ярко-красный,Тёмный хаки,Ультра-светло-бежевый,Гибискусовый,Тру изумрудный ,Белый,Светло-зелёный на пол шише4ки,Нежно-розовый,Умбра,Серый,Ярко-желтый(минус глаза),Голубой,Бежевый ,"Светофор, Цвета",Нет,0
,,,,0,1,1,,1,0.5,1,1,0.5,1,0.5,1,1,,0.5,0.5,,0.5,0.5,1,1,1,1,,0.5,,1,,0.5,,1,,,14
15.06.2019 16:43:56,24,женский,"Архитектура, дизайн, фотография, визуальные искусства",12,Синий,Оранжевый,Коричневый,Травяной,Лиловый,Кофе с молоком,Темно синий,Бордо,Сиреневый,Бирюзовый,Лососевый,Бледно желтый,Черный,Темная фуксия,Фуксия,Черный,Морской синий,Алый,Темно Серый,Бледно желтый,Красный,Темно зеленый,Белый,Салатовый,Бледно розовый,Темно коричневый,Серый,Желтый,Небесно голубой,Телесный,Светофор,Нет,0
,,,,0,,,,1,1,1,0.5,1,1,1,1,0.5,,1,1,,0.5,1,0.5,0.5,,0.5,,1,0.5,0.5,,,0.5,1,,,12
15.06.2019 16:52:27,25,мужской,Образование,3,синий,желтый,коричневый,зеленый,фиолетовый,пурпурный,синий,бордовый,голубой,бирюзовый,коралловый,бежевый,черный,фиолетовый,розовый,черный,синий,красный,черный,белый,красный,зеленый,белый,зеленый,розовый,коричневый,серый,желтый,голубой,розовый,Не играл(а),Нет,0
,,,,0,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,3
15.06.2019 16:53:19,25,женский,IT,30,неон,апельсин,глина,трава,туман,дерево,ночь,роза,виноград,неон,персик,пустыня ,ночь,виноград,неон,ночь,вода,кровь,осенняя трава,солнечный свет,бахрома,ель,Прозрачность,листва,подушка,древесина ,грязь,неон,свобода ,свет,Не играл(а),Нет,0
,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,30
15.06.2019 16:57:14,24,женский,Ооо,-1,Синий,Оранжевый ,Коричневый ,Темно зелёный ,Лиловый ,Р,Темно синий ,Бардовый ,Фиолетовый,Ужасный,Персиковый,Beige,Чёрный или асфальтовый,Н,Я,Чёрный ,Р,Красный,Серо зелёный ?,Beige ,Y,G,Belii,Р,Коралловый?,Хз,Серый,Желтый ,Голубой ,П,Цветной король,Нет,0
,,,,0,,,,0.5,1,-1,0.5,1,,1,1,1,1,-1,-1,,-1,,0.5,1,-1,-1,,-1,1,-1,,,,-1,,,-1
15.06.2019 17:02:36,21,женский,Сфера обслуживания,10,Ультрамарин,Оранжевый ,Сепия тёмная ,Травяная зелень ,Сиреневый,Розово-коричневый,Темно синий ,Краплак красный,Фиолетовый,Ярко голубой ,Кораловый,Нежно жёлтый ,Чёрный ,Лиловый,Ярко розовый ,Чёрный ,Небесно голубой ,Ярко красный,Серо-зелёный ,Кремовый,Красный ,Зелёный ,Белый,Светло-зелёный ,Розовый,Краплак коричневый,Серый ,Жёлтый ,Голубой ,Телесный,Светофор,Нет,0
,,,,0,1,,1,1,1,0.5,0.5,1,,0.5,1,0.5,,1,0.5,,1,0.5,0.5,1,,,,0.5,,1,,,,,,,10
15.06.2019 17:06:47,24,женский,IT,13,Синий,Оранжевый,Коричневый,Травянисто-зеленый,Лавандовый,Кофейный,Темно-синий,Винно-красный,Ярко-фиолетовый,Циан,Разбеленный оранжевый,Серо-желтый,Черный,Пурпурный,Фуксия,Черный,Небесно-синий,Ярко-красный,Защитный зеленый,Ванильный желтый,Бледно красный,Сосновый зеленый,Белый,Мятный зеленый,Нежный розовый,Темный шоколад,Серый,Ярко желтый,Небесный голубой,Кожаный бежевый,Не играл(а),Нет,0
,,,,0,,,,1,1,1,0.5,1,0.5,1,0.5,,,1,1,,1,0.5,1,1,0.5,1,,1,0.5,1,,,,,,,13
15.06.2019 17:09:20,24,женский,"Социология, экономика, общественные науки",12,Синий,Оранжевый,Коричневый,Зеленый,Сиреневый ,Темно  бежевый,Темно синий,Алый,Фиолетовый ,Мятный,Светло оранжевый,Светло бежевый ,Чёрный ,Фуксия,Розовато сиреневый,Чёрный ,Морской волны,Красный,Антрацит ,Молочный,Светло красный,Зелёный ,Белый,Светло зеленый,Нежно розовый,Коричневый ,Серый ,Желтый,Небесно голубой,Бежевый,Не играл(а),Нет,0
,,,,0,,,,,1,1,0.5,1,,1,0.5,1,,1,1,,1,,1,1,0.5,,,0.5,0.5,,,,1,1,,,12
15.06.2019 17:13:05,26,женский,Сфера обслуживания,18,синий,горчичный,светло коричневый,зеленый,розовый,темно песочный,темно синий,марсала,фиолетовый,голубой,темный персик,бежевый,черный,фуксия,яркая фуксия,глубокий черный,морской волны,алый,асфальт,нюдовый,красный,травы,белый,салатовый,кремовый,земли,серый,лимонный,небесный,персик,Красочки в коробочку,Нет,0
,,,,0,,1,0.5,,,1,0.5,1,,,1,1,,1,1,0.5,1,1,1,1,,1,,1,1,1,,1,1,1,,,18
15.06.2019 17:17:22,23,женский,"Филология, лингвистика, иностранные языки",13,Синий,Оранжевый,Коричневый,Зелёный,Сиреневый,Молочного шоколада,Васильковый,Бордовый,Сине-фиолетовый,Ярко-бирюзовый,Морковный,Пастельно-желтый,Чёрный,Лилово-фиолетовый,Сиреневая фуксия,Черный,Цвет морской волны,Красный,Темно-серый,Бледно-мимозный,Ярко-красный,Изумрудный,Белый,Травяной,Нежно-розовый,Темно-коричневый,Асфальтовый,Ярко-желтый,Ярко-голубой,Персиковый,Светофор,Нет,0
,,,,0,,,,,,1,1,1,0.5,1,1,0.5,,1,1,,1,,0.5,1,0.5,1,,1,0.5,0.5,1,0.5,0.5,1,,,13
15.06.2019 17:24:38,23,женский,"Филология, лингвистика, иностранные языки",9,Неоново-синий,Оранжевый,Светло-коричневый,Зеленый,Светло-лиловый,Пастельный коричневый,Темно-синий,Бордовый,Фиолетовый,Бирюзовый,Персиковый,Светло-бежевый,Черный,Темно-фиолетовый,Фуксия,Черный,Синий,Красный,Серо-зеленый,Очень светлый беж,Коралловый,Темно-зеленый,Белый,Салатный,Нежно-розовый,Коричнево-черный,Серый,Желтый,Голубой,Бежевый,Светофор,Нет,0
,,,,0,0.5,,0.5,,1,0.5,0.5,1,,1,1,1,,0.5,1,,,,0.5,1,1,0.5,,0.5,0.5,0.5,,,,1,,,9
15.06.2019 17:37:00,54,женский,"Социология, экономика, общественные науки",14,Ультрамарин,Оранж,Терракот,Зелёный,Винный,Коричневый,Ультрамарин,Терракот,Ультрамарин,Бирюзовый,Коричневый,Песочный,Чёрный,Винный,Фуксия,Чёрный,Синий,Красный,Чёрный,Бледно-желтый,Красный,Зелёный,Бесцветный,Зелёный,Розовый,Чёрный,Серый,Лимонный,Синий,Песочный,Камешки,Нет,0
,,,,0,1,1,1,,1,,1,1,1,1,,1,,1,1,,,,,0.5,,,1,,,,,1,,1,,,14
15.06.2019 17:40:24,19,женский,"Филология, лингвистика, иностранные языки",28,ультрамариновый,жёлто-оранжевый,терракотовый,изумрудно зелёный,пудровый,кофейный,индиго,винный,сиреневый ,цвет морской волны,персиковый,шампань,графитно-чёрный,фуксия,жвачно-розовый,графитно-чёрный,тёмный лазурный,коралловый,чёрно-оливклвый,цвет слоновой кости,красно-оранжевый,бутылочно-зелёный,алебастровый ,лаймовый,розовый пудровый,агатовый,мышиный серый,лимонный,небесно-голубой,телесный,Не играл(а),Нет,0
,,,,0,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,,,28
15.06.2019 18:06:49,21,женский,IT,7,Синий,Оранжевый,Коричневый,Темно-зеленый,Лиловый,Светло-коричневый,Тёмно-синий,Бордовый,Фиолетовый,Голубой,Светло-оранжевый,Бледно-желтый,Черный,Сиреневый,Фуксия,Черный,Приглушённый синий,Красный,Серо-зеленый,Молочный,Красный,Темнозеленый,Белый,Светло-зеленый,Розовый,Тёмно-коричневый,Серый,Жёлтый,Небесно-голубой,Бежевый,Не играл(а),Нет,0
,,,,0,,,,0.5,1,0.5,0.5,1,,,0.5,0.5,,1,1,,0.5,,0.5,1,,0.5,,0.5,,0.5,,,1,1,,,7
15.06.2019 18:07:16,26,мужской,IT,13,Синий,Оранжевый,Коричневый,Зелёный,Пурпурный,Шоколадный,Темно синий ,Бордовый ,Фиолетовый ,Тифани,Персиковый,Слоновая кость ,Чёрный ,Фуксия,Фуксия,Чёрный ,Джинсовый,Красный,Графитовый,Бежевый,Коралловый,Темно зелёный,Белый ,Нежно зелёный,Грязная роза,Чёрный,Серый,Жёлтый,Голубой,Охра,Цветной король,Нет,0
,,,,0,,,,,1,0.5,0.5,1,,1,1,1,,1,1,,1,,1,1,1,0.5,,0.5,1,,,,,1,,,13
15.06.2019 18:15:29,44,мужской,Торговля,6,Синий,Желто-коричневый,Коричневый,Зелёный мох,Светло-фиолетовый,Бледно-коричневый,Тёмно-синий,Бордовый,Фиолетовый,Лагуна,Красно-оранжевый,Бледно-желтый,Черный,Фиолетовый,Розово-фиолетовый,Чёрный,Мутно-синий,Алый,Тёмно-серый,Едва-желтый,Светло-алый,Темно-зеленый,Белый,Салатовый,Мутно-розовый,Черный,Серый,Ярко-желтый,Голубой,Палевый,Не играл(а),Нет,0
,,,,0,,0.5,,1,0.5,0.5,0.5,1,,1,0.5,0.5,,,0.5,,0.5,1,0.5,0.5,0.5,0.5,,1,0.5,,,0.5,,1,,,6
15.06.2019 18:25:00,37,женский,"Социология, экономика, общественные науки",8,Синий,Оранжевый,Коричневый,Темно-зеленый,Сиреневый,Пудровый коричневый,Темно синий,Бордовый,Пудрово голубой,Бирюза,Светло оранжевый,Светложклтый,Черный,Фиолетовый,Фуксия,Сажа,Темно голубой,Красный,Серый,Молочный,Красный,Темно зеленый,Белый,Светло зеленый,Чайная роза,Темно коричневый,Серый,Желтый,Голубой,Светло коричневый,Красочки в коробочку,Нет,0
,,,,0,,,,0.5,1,1,0.5,1,1,1,0.5,0.5,,,1,1,0.5,,,0.5,,0.5,,0.5,1,0.5,,,,0.5,,,8
15.06.2019 18:34:36,21,женский,"Филология, лингвистика, иностранные языки",6,Синий,Желтый,Коричневый,Зеленый,Лиловый,Коричневый,Темно-синий,Бордовый,Фиолетовый,Бирюзовый,Коралловый,Телесный,Темно-серый,Ярко-фиолетовый,Ярко-розовый,Черный,Сине-голубой,Красный,Серый,Молочный,Красноватый,Темно-зеленый,Белый,Светло-зеленый,Розовый,Коричневый,Серый,Желтый,Голубой,Светло-розовый,"Светофор, Цвета",Нет,0
,,,,0,,,,,1,,0.5,1,,1,1,1,0.5,0.5,0.5,,0.5,,,1,0.5,0.5,,0.5,,,,,,0.5,,,6
15.06.2019 18:44:08,23,женский,"Образование недавно получила лингвистическое, но работаю в авито модератором (я хз, что это за сфера)",9,Синий,Оранжевый ,Коричневый,Зеленый,Сиреневый,Цвет молочного шоколада ,Индиго/ультрамарин,Краплак,Сине-фиолетовый,Лазоревый,Персиковы1,Глинистый,Черный,Фиолетовый,Розовый,Угольно-черный ,Синий,Красный,Серо-зеленый,Бежевый,Красный,Темно-зеленый,Белый,Зеленый,Нежно-розовый,Коричн,Серый,Ярко-желтый,Голубой,Персиковый,Светофор,Нет,0
,,,,0,,,,,1,1,1,1,0.5,1,1,1,,,,0.5,,,0.5,1,,0.5,,,0.5,,,0.5,,1,,,9
15.06.2019 18:55:13,43,женский,Сфера обслуживания,17,Ультрамариновый,Оранжевый,Кирпичный,Зелёный ,Сирень ,Кофе с молоком ,Синий,Красивый красный))) ,ФиолЭтовый)) ,Бирюзовый,Персиковый,Ванильный,Черный ,Лиловый,Фуксия,Черный ,Сине-голубой ,Тупо красный,Хаки? ,Айвори,Оранжево-красный,Травяной? ,Белый ,Мятный,Сакура,Тёмный шоколад ,Серый ,Жёлтый ,Небесно-голубой,Бежевый пусть будет ,Не играл(а),Нет,0
,,,,0,1,,1,,1,1,,,,1,1,1,,1,1,,0.5,,1,1,0.5,1,,1,1,1,,,1,1,,,17
15.06.2019 18:58:10,21,женский,"Филология, лингвистика, иностранные языки",8,Королевский синий ,Оранжевый,Коричневый ,Зеленый,Розовато-лиловый (mauve),Лилово-коричневый,Синий,Винный,Фиолетовый,Лазурный,Персиковый ,Молочный ,Черный,Лиловый,Пурпурный,Черный,Темно-голубой,Оранжево-красный ,Серый ,Светло-молочный,Лососевый,Темно-зеленый,Белый ,Зелено-голубой ,Светло-розовый,Темно-коричневый,Серый,Желтый,Голубой,Светло-лососевый,Красочки в коробочку,Нет,0
,,,,0,0.5,,,,0.5,0.5,,1,,1,1,1,,1,1,,0.5,0.5,,0.5,1,0.5,,0.5,0.5,0.5,,,,1,,,8
15.06.2019 19:08:33,23,женский,"Социология, экономика, общественные науки",29,Йорик,Светлана,Крикет,Жемчуг,Скука ,Петербург ,Глубина,Рана,Неординарность ,Обман,Ошибка ,Андроидный ,Пустынный ,Ирреальный ,Вычурный,Необитаемый ,Свободный,Жадный,Зыбучий,Незаметный ,Ухоженный ,Упитанный ,Безграничный ,Полноводный ,Миловидный,Тяжелый,Осадочный ,Оплеуха,Навязчивый ,Пудра,Не играл(а),Нет,0
,,,,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,29
15.06.2019 19:22:45,29,женский,IT,6,Синий,Оранжевый,Коричневый,Зелёный,Лиловый,Розовато-коричневый,Тёмно-синий,Темно-красный,Кислотный синий,Голубой,Коралловый,Песочный,Черный,Фиолетовый,Маджента,Черный,Темно-голубой,Красный,Темно-серый,Светло-желтый,Красный,Темно-зеленый,Белый,Травяной,Светло-розовый,Темно-коричневый,Серый,Желтый,Голубой,Телесный,Светофор,Нет,0
,,,,0,,,,,1,0.5,0.5,0.5,0.5,,1,1,,,1,,0.5,,0.5,0.5,,0.5,,1,0.5,0.5,,,,1,,,6
15.06.2019 20:05:51,28,женский,Сфера обслуживания,8,Ярко-синий,Горчица,Коричневый,Травяной,Сиреневый,Не знаю :( ,Глубокий синий,Терракотовый,Лиловый,Индиго,Коралл,Бледно желтый,Черный,Пурпур,Розовый,Черный,Бирюза,Красный,Серый темный,Бледно бледно желтый,Бледно красный,Хаки,Белый,Светло зеленый,Бледно розовый,Темно коричневый,Серый,Желтый,Голубой,Не знаю такого слова,Цветной король,Нет,0
,,,,0,0.5,1,,1,1,-1,0.5,1,1,1,1,0.5,,1,,,1,,0.5,0.5,0.5,1,,0.5,0.5,0.5,,,,-1,,,8
15.06.2019 20:12:46,19,женский,"Филология, лингвистика, иностранные языки",11,Аквамарин,Охра,Коричневый,Зелёный ,Сиреневый,Бледно-коричневый,Фиолетово-синий,Кирпичный,Светло-фиолетовый,Бирюзовый,Персиковый,Бледно-жёлтый,Чёрный,Фуксия,Ярко-розовый,Чёрный,Синий,Алый,Серо-зелёный,Молочный,Лососёвый,Тёмно-зелёный,Белый,Светло-зелёный,Розовый,Чёрный,Серый,Ярко-жёлтый,Голубой,Кремовый,Светофор,Нет,0
,,,,0,1,1,,,1,0.5,0.5,1,0.5,1,1,0.5,,1,0.5,,,1,0.5,1,1,0.5,,0.5,,,,0.5,,1,,,11
15.06.2019 20:18:04,23,женский,Журналистика,14,Ярко-синий,Оранжевый,Терракотовый,Лиственно-зелёный ,Пурпурный,Густой крем,Индиго,Алый,Сиреневый ,Светло-ярко-бирюзовый,Нюдовый Оранж,Нежно-желтый,Чёрный,Лиловый,Фуксия,И снова черный,Так себе синий,Ярко-красный,Серо-болотный,Лампочка Ильича ,Недокрасный,Темно-зеленый,Почти белый,Мятный,Розовый,Коричневый,Серый,Ярко-желтый,Голубой,Персиковый,Цветной король,Нет,0
,,,,0,,,1,1,1,1,1,1,1,1,1,0.5,,1,1,,,0.5,0.5,1,0.5,0.5,,1,,,,0.5,,1,,,14
15.06.2019 20:29:34,28,женский,"Филология, лингвистика, иностранные языки",10,Синий,Морковный,Коричневый,Зелёный,Лавандовый,Не совсем коричневый),Темно-синий,Винный,Сиреневый,Ярко-голубой,Персиковый,Бежевый,Черный,Фиолетовый,Фуксия,Чёрный,Синий,Ярко-красный,Зеленовато-серый,Молочный,Коралл,Темно-зелёный,Белый,Нежно-зелёный,Нежно-розовый,Темно-коричневый,Серый,Жёлтый,Голубой,Пудровый,Не играл(а),Нет,0
,,,,0,,1,,,1,0.5,0.5,1,1,0.5,1,1,,,1,,,0.5,0.5,1,1,0.5,,0.5,0.5,0.5,,,,1,,,10
15.06.2019 20:47:44,20,женский,"Филология, лингвистика, иностранные языки",11,синий,светло-оранжевый ,шоколадный,зеленый,сиреневый,серо-буро-малиновый,темно-синий,винный,фиолетовый,бирюзовый,телесный,светло-телесный,черный,фиолетовый,ярко-розовый,черный,синий,красный,серый,белый,коралловый,изумрудно-зеленый,белый,фисташковый,нежно-розовый,коричневый,серый,лимонно-желтый,голубой,светло-телесный,Цвета,Нет,0
,,,,0,,0.5,1,,1,1,0.5,1,,1,1,0.5,,,0.5,,,,,,1,1,,1,0.5,,,1,,1,,,11
15.06.2019 21:07:03,23,мужской,"Социология, экономика, общественные науки",7,синий,оранжевый,коричневый,зелёный,бледно-розовый,коричневый,темно-синий,бордовый,фиолетовый,сиреневый,светло-оранжевый,светло-желтый,черный,пурпурный,кислотно-розовый,черный,синий,ярко-красный,хаки,бежевый,красно-оранжевый,темно-зеленый,Белый,ярко-зеленый,бежевый,темно-коричневый,серый,жёлтый,голубой,телесный,Не играл(а),Нет,0
,,,,0,,,,,0.5,,0.5,1,,1,0.5,,,1,0.5,,,0.5,1,1,0.5,0.5,,0.5,1,0.5,,,,1,,,7
